mz,significant,chemical
176.1264,False,C6H15N4O2
365.1268,True,C16H20N4O4S
276.0628,False,C10H14NO6P
828.7154,False,C53H94O6
281.2110,False,C17H28O3
324.0588,True,C9H14N3O8P
221.1745,False,C11H24O4
511.1080,False,C22H22O14
429.4090,True,C30H52O
387.2011,True,C19H30O8
193.0681,True,C11H12OS
373.1579,False,C20H24N2O3S
505.1339,True,C24H24O12
323.2209,False,C19H30O4
293.0573,True,C15H13ClO4
436.0589,True,C13H17N5O8S2
307.2631,True,C20H34O2
201.0867,False,C8H12N2O4Pt
784.1691,True,C33H35O22
503.2061,False,C30H30O7
275.0550,False,C14H10MgO6
756.6345,False,C44H85NO8
307.2993,False,C21H38O
165.0402,False,C6H12OS2
305.1091,False,C10H16N4O7
461.1549,False,C22H24N2O9
170.0480,False,C4H11NO4S
283.1175,False,C14H18O6
300.2530,True,C17H33NO3
481.3154,False,C27H44O7
339.0587,False,C10H15N2O9P
264.2069,False,C15H25N3O
135.0400,True,C3H6N2O4
624.6287,True,C40H81NO3
305.1744,False,C18H24O4
811.4275,True,C46H58N4O9
371.2266,True,C16H34O9
487.1023,False,C27H18O9
267.0499,False,C12H10O7
915.1977,False,C45H38O21
168.0515,False,C5H5N5O2
491.1547,False,C24H26O11
367.0116,True,C15H10O9S
351.1225,True,C21H18O5
615.3175,False,C35H42N4O6
147.0434,False,C9H6O2
205.1586,False,C14H20O
603.1340,True,C28H26O15
277.0351,True,C14H12O2S2
263.1064,False,C18H14O2
333.0604,True,C16H12O8
591.1285,True,C34H22O10
189.1848,False,C11H24O2
399.3612,False,C28H46O
397.2059,False,C17H32O10
460.1602,False,C23H25NO9
651.3736,False,C35H54O11
887.8425,True,C58H110O5
318.0731,True,C16H13O7
563.1911,True,C31H30O10
341.1006,False,C20H17FO2S
337.0704,False,C19H12O6
296.0914,False,C17H13NO4
539.4934,True,C36H62N2O
250.9526,False,C4H10O4S4
346.1219,False,C17H19N3O3S
262.1590,False,C19H19N
277.1332,False,C18H16N2O
721.1755,True,C36H32O16
779.7121,False,C49H94O6
288.9583,True,C12H7Cl3O2
391.2290,False,C20H32F2O5
747.2105,True,C39H38O13S
565.2351,False,C22H36N4O13
519.1317,False,C25H26O10S
515.0638,True,C24H18O11S
201.0761,False,C10H16S2
212.0541,True,C9H9NO5
29.0384,False,C2H4
183.0329,False,C6H14S3
889.4836,False,C41H78O16P2
753.6379,True,C49H84O5
396.1917,False,C22H25N3O4
501.2115,False,C27H32O9
314.3165,True,C18H39N3O
442.1468,False,C19H19N7O6
269.2260,True,C20H28
661.1069,True,C26H28O18S
345.3355,False,C21H44O3
501.2229,False,C26H32N2O8
566.2172,False,C34H31NO7
393.2633,True,C23H36O5
812.5224,False,C47H74NO8P
304.1613,False,C11H21N5O5
277.0791,True,C11H11F3N2O3
430.2738,False,C29H35NO2
252.0290,False,C8H11Cl2N3O2
182.0670,False,C6H7N5O2
58.0648,False,C3H7N
505.1526,True,C25H28O9S
675.2454,False,C25H42N2O19
208.1329,False,C12H17NO2
440.1744,False,C23H31Cl2NO3
201.0311,True,C9H9ClO3
482.2570,True,C25H39NO6S
485.1653,False,C22H28O12
705.1329,True,C28H32O19S
485.3109,True,C26H44O8
595.5447,False,C41H70O2
461.4352,False,C31H56O2
366.1633,False,C21H23N3OS
369.2632,True,C21H36O5
150.1124,True,C6H15NO3
213.0435,False,C7H16OS3
199.0786,True,C10H14O2S
252.1009,False,C11H14ClN5
371.0607,False,C15H14O11
801.6478,False,C45H89N2O7P
177.1386,False,C11H16N2
567.5346,True,C36H70O4
902.1591,False,C29H42N7O18P3S
240.1148,False,C13H18ClNO
150.0771,False,C6H7N5
224.2004,False,C14H25NO
388.0304,False,C9H15N3O10P2
325.1618,True,C13H20N6O4
528.3085,False,C27H46NO7P
636.2221,False,C29H37N3O11S
783.4522,True,C41H66O14
278.0327,False,C9H11NO7S
788.5431,False,C42H78NO10P
441.1626,False,C19H20N8O5
308.2218,True,C18H29NO3
109.1010,True,C8H12
382.0606,False,C18H17Cl2NO4
488.7062,True,C10H2Cl10O
420.1360,False,C25H22ClNO3
599.2015,True,C28H31ClN6O7
644.1906,False,C30H33N3O11S
341.0031,False,C6H14O12P2
459.1705,False,C17H30O14
553.3006,False,C29H44O10
360.1565,False,C15H22FN3O6
253.1798,False,C15H24O3
425.0760,True,C16H16N4O8S
483.3468,False,C31H46O4
627.1918,True,C28H34O16
790.5592,True,C42H80NO10P
740.4567,False,C39H65NO12
775.3839,True,C48H54O9
437.4715,False,C30H60O
855.3856,True,C38H62O21
234.1084,True,C8H15N3O5
243.0973,True,C10H14N2O5
523.1445,False,C24H26O13
826.7128,True,C49H95NO8
301.2975,False,C18H38NO2
483.9917,False,C9H16N3O14P3
209.0486,True,C8H16S3
260.1966,True,C12H25N3O3
883.5047,False,C46H74O16
526.2927,True,C27H44NO7P
437.4352,False,C29H56O2
902.7571,False,C52H104NO8P
344.1162,False,C15H21NO6S
465.2231,False,C23H32N2O8
471.2964,False,C26H38N4O4
208.0963,False,C11H13NO3
533.1289,False,C25H24O13
715.3526,True,C35H54O15
695.1911,False,C42H30O10
572.2863,False,C32H37N5O5
214.0265,False,C9H8ClNO3
786.6369,False,C45H88NO7P
578.4178,False,C30H60NO7P
119.0855,True,C9H10
794.5694,True,C45H80NO8P
163.0534,False,C5H10N2O2S
247.1538,True,C12H22O5
551.2851,False,C29H42O10
387.2164,False,C23H30O5
454.4252,False,C28H55NO3
413.3049,False,C27H40O3
275.1276,False,C16H18O4
859.7747,False,C55H102O6
335.1601,False,C17H22N2O5
427.2326,True,C22H34O8
127.0612,False,C4H6N4O
435.0481,False,C13H15ClN6O7S
302.0635,False,C8H16NO9P
721.4802,True,C41H69O8P
147.1374,False,C8H18O2
383.0758,False,C20H14O8
319.1899,False,C19H26O4
662.2377,False,C31H39N3O11S
89.0781,False,C4H12Si
717.5904,True,C40H81N2O6P
365.2111,False,C24H28O3
288.2169,False,C15H29NO4
549.0513,True,C15H22N2O16P2
284.1353,False,C11H17N5O4
823.4123,True,C43H58N4O12
288.0855,True,C9H14N5O4P
356.0142,False,C14H14INO2
145.0645,True,C10H8O
345.1143,False,C22H17ClN2
571.4508,True,C40H58O2
279.1953,False,C17H26O3
257.1135,False,C10H20N2O2Si2
341.0862,False,C15H16O9
182.0447,False,C8H7NO4
553.2278,False,C27H36O12
555.4618,False,C33H62O6
572.1102,False,C20H29NO14S2
192.0866,False,C7H13NO5
618.5172,True,C39H68O5
336.0858,True,C11H17N3O7S
150.0581,True,C5H11NO2S
266.1135,False,C12H15N3O4
451.3415,False,C27H46O5
437.2894,True,C25H40O6
251.1057,True,C9H18N2O4S
426.2614,False,C19H40NO7P
199.2051,True,C13H26O
515.0853,True,C21H22O13S
899.8061,False,C58H106O6
283.1899,True,C16H26O4
235.1440,True,C13H18N2O2
331.1539,False,C19H22O5
295.1936,False,C14H30O4S
198.0873,False,C8H11N3O3
701.5590,False,C39H77N2O6P
625.5037,False,C37H68O7
61.0647,False,C3H8O
204.1131,True,C11H13N3O
683.4363,False,C37H62O11
258.9145,True,C7H5Cl3O2S
841.6673,False,C49H93O8P
481.0797,False,C21H20O11S
626.1477,False,C27H29O17
452.2431,True,C27H33NO5
866.6625,True,C50H92NO8P
512.4673,False,C31H61NO4
609.5604,False,C42H72O2
771.5170,False,C42H75O10P
353.1294,False,C18H19F3N2S
623.5608,False,C39H74O5
399.0921,False,C17H18O11
781.2555,False,C28H50N2O19P2
239.0913,True,C12H14O5
269.0950,False,C12H16N2O3S
311.2943,False,C20H38O2
682.3010,False,C40H43NO9
873.7306,False,C51H101O8P
301.2160,False,C20H28O2
500.2770,False,C25H42NO7P
184.9845,True,C3H5O7P
855.2282,True,C48H38O15
302.0783,True,C16H13O6
263.1275,False,C15H18O4
459.0914,False,C22H18O11
136.0425,False,C4H9NO2S
595.5295,False,C37H70O5
223.0745,False,C7H14N2O4S
294.1448,False,C14H19N3O4
164.0929,True,C7H9N5
653.3584,True,C40H48N2O6
237.0690,False,C11H12N2O2S
282.1852,False,C19H23NO
138.0661,True,C6H7N3O
466.1902,True,C23H29ClFN3O4
565.1340,True,C29H24O12
693.1177,True,C20H26N10O14P2
407.1849,False,C25H26O5
233.0708,False,C15H8N2O
419.2789,False,C25H38O5
455.1119,False,C27H18O7
339.2163,True,C19H30O5
105.0541,True,C4H8O3
385.2008,False,C23H28O5
765.2236,False,C35H40O19
213.1116,False,C11H16O4
433.0587,False,C20H16O9S
861.5486,False,C45H81O13P
241.0706,True,C11H12O6
786.5278,False,C42H76NO10P
305.2474,False,C20H32O2
354.0881,True,C16H14F3N3OS
675.5921,False,C43H78O5
393.2271,False,C22H32O6
300.0792,True,C15H13N3O2S
719.2558,True,C36H38N4O12
899.7123,True,C59H94O6
706.4008,False,C34H59NO14
660.4468,False,C38H61NO8
315.0519,False,C13H14O7S
457.2573,True,C27H36O6
856.7153,True,C50H98NO7P
273.2241,False,C15H32O2Si
416.2794,False,C25H37NO4
215.1275,False,C11H18O4
559.4352,False,C35H58O5
312.0899,False,C14H17NO5S
519.1912,True,C20H30N4O12
365.0324,False,C16H12O8S
790.4731,True,C43H67NO12
259.1901,True,C14H26O4
644.3427,False,C35H49NO10
869.7955,False,C57H104O5
262.0377,False,C9H11NO6S
268.9841,False,C12H9ClOS2
846.7027,False,C49H97O8P
323.1842,False,C18H26O5
425.4711,True,C29H60O
449.0900,True,C21H20O9S
804.4890,False,C44H69NO12
256.1050,False,C11H15N2O5
428.2430,True,C25H33NO5
887.0573,False,C40H22O24
317.0654,True,C16H12O7
424.1321,False,C21H23ClFNO5
511.2172,False,C25H34O11
828.4809,False,C46H70NO10P
423.2096,False,C17H26N8O5
603.9641,True,C10H17N5O17P4
153.1637,False,C11H20
507.0405,False,C21H14O15
608.4649,True,C32H66NO7P
439.1961,False,C22H30O9
178.1462,True,C11H17N2
585.4514,True,C37H60O5
288.2531,False,C16H33NO3
287.2005,False,C19H26O2
778.5379,True,C44H76NO8P
342.2427,False,C22H31NO2
514.1092,False,C22H24O12S
455.4822,False,C30H62O2
173.0361,True,C7H9O3P
637.4665,True,C37H64O8
177.0544,False,C10H8O3
583.2173,True,C31H34O11
287.0759,False,C12H14O8
439.4509,False,C29H58O2
732.4807,True,C38H70NO10P
307.0965,False,C19H14O4
349.1353,False,C12H20N4O8
339.0345,False,C14H10O10
421.2007,False,C26H28O5
748.5275,False,C43H74NO7P
383.0793,False,C17H18O8S
282.1487,True,C18H19NO2
183.1743,False,C12H22O
550.1918,False,C26H31NO12
762.5279,False,C40H76NO10P
639.4018,True,C35H59O8P
659.5609,True,C42H74O5
507.1496,False,C24H26O12
161.0419,False,C10H8S
197.0487,True,C7H16S3
310.1756,True,C15H23N3O4
816.5900,False,C48H82NO7P
163.0865,False,C9H10N2O
778.5744,True,C45H80NO7P
270.1193,False,C10H15N5O4
357.2999,False,C21H40O4
339.3982,False,C24H50
473.2566,True,C24H40O7S
435.2505,True,C21H39O7P
260.1240,False,C10H17N3O5
311.0393,False,C14H9ClF2N2O2
225.1356,False,C12H18NO3
332.1310,False,C10H17N7O6
